Index,InstrumentName,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
1,EUR_GBP,1499833935.0,2017-07-12 04:32:15,1,0.89306,0.89306,0.89306,0.89306,0.89314,0.89314,0.89314,0.89314,0.89299,0.89299,0.89299,0.89299,
2,EUR_GBP,1499833940.0,2017-07-12 04:32:20,1,0.89306,0.89308,0.89306,0.89308,0.89314,0.89317,0.89314,0.89317,0.89299,0.893,0.89299,0.893,
3,EUR_GBP,1499833950.0,2017-07-12 04:32:30,1,0.89308,0.89308,0.89306,0.89306,0.89317,0.89317,0.89315,0.89315,0.893,0.893,0.89298,0.89298,
4,EUR_GBP,1499833960.0,2017-07-12 04:32:40,3,0.89306,0.89308,0.89306,0.89308,0.89315,0.89317,0.89315,0.89317,0.89298,0.893,0.89298,0.893,
5,EUR_GBP,1499833970.0,2017-07-12 04:32:50,4,0.89308,0.89308,0.893,0.893,0.89317,0.89317,0.89309,0.89309,0.893,0.893,0.89291,0.89291,
6,EUR_GBP,1499833975.0,2017-07-12 04:32:55,1,0.893,0.893,0.89298,0.89298,0.89309,0.89309,0.89307,0.89307,0.89291,0.89291,0.89289,0.89289,
7,EUR_GBP,1499834000.0,2017-07-12 04:33:20,2,0.89298,0.89298,0.89294,0.89294,0.89307,0.89307,0.89303,0.89303,0.89289,0.89289,0.89284,0.89284,
8,EUR_GBP,1499834005.0,2017-07-12 04:33:25,1,0.89294,0.89294,0.89291,0.89291,0.89303,0.89303,0.89299,0.89299,0.89284,0.89284,0.89284,0.89284,
9,EUR_GBP,1499834010.0,2017-07-12 04:33:30,1,0.89291,0.89291,0.89289,0.89289,0.89299,0.89299,0.89298,0.89298,0.89284,0.89284,0.8928,0.8928,
10,EUR_GBP,1499834015.0,2017-07-12 04:33:35,2,0.89289,0.89294,0.89289,0.89294,0.89298,0.89303,0.89298,0.89303,0.8928,0.89284,0.8928,0.89284,
11,EUR_GBP,1499834020.0,2017-07-12 04:33:40,2,0.89294,0.89298,0.89294,0.89298,0.89303,0.89309,0.89303,0.89309,0.89284,0.89288,0.89284,0.89288,
12,EUR_GBP,1499834060.0,2017-07-12 04:34:20,1,0.89298,0.893,0.89298,0.893,0.89309,0.89309,0.89309,0.89309,0.89288,0.89292,0.89288,0.89292,
13,EUR_GBP,1499834070.0,2017-07-12 04:34:30,3,0.893,0.89308,0.893,0.89308,0.89309,0.89317,0.89309,0.89317,0.89292,0.89298,0.89292,0.89298,
14,EUR_GBP,1499834075.0,2017-07-12 04:34:35,1,0.89308,0.8931,0.89308,0.8931,0.89317,0.8932,0.89317,0.8932,0.89298,0.89301,0.89298,0.89301,
15,EUR_GBP,1499834100.0,2017-07-12 04:35:00,1,0.8931,0.89314,0.8931,0.89314,0.8932,0.89323,0.8932,0.89323,0.89301,0.89304,0.89301,0.89304,
16,EUR_GBP,1499834115.0,2017-07-12 04:35:15,2,0.89314,0.89314,0.89309,0.89309,0.89323,0.89323,0.89318,0.89318,0.89304,0.89304,0.89301,0.89301,
17,EUR_GBP,1499834135.0,2017-07-12 04:35:35,1,0.89309,0.89311,0.89309,0.89311,0.89318,0.89321,0.89318,0.89321,0.89301,0.89302,0.89301,0.89302,
18,EUR_GBP,1499834155.0,2017-07-12 04:35:55,1,0.89311,0.89314,0.89311,0.89314,0.89321,0.89322,0.89321,0.89322,0.89302,0.89305,0.89302,0.89305,
19,EUR_GBP,1499834180.0,2017-07-12 04:36:20,2,0.89314,0.89318,0.89314,0.89318,0.89322,0.89327,0.89322,0.89327,0.89305,0.8931,0.89305,0.8931,
20,EUR_GBP,1499834185.0,2017-07-12 04:36:25,2,0.89318,0.89318,0.89314,0.89314,0.89327,0.89327,0.89323,0.89323,0.8931,0.8931,0.89306,0.89306,
21,EUR_GBP,1499834210.0,2017-07-12 04:36:50,1,0.89314,0.89314,0.89312,0.89312,0.89323,0.89323,0.89321,0.89321,0.89306,0.89306,0.89304,0.89304,
22,EUR_GBP,1499834230.0,2017-07-12 04:37:10,2,0.89312,0.89317,0.89312,0.89317,0.89321,0.89326,0.89321,0.89326,0.89304,0.89308,0.89304,0.89308,
23,EUR_GBP,1499834240.0,2017-07-12 04:37:20,3,0.89317,0.89324,0.89317,0.89324,0.89326,0.89333,0.89326,0.89333,0.89308,0.89315,0.89308,0.89315,
24,EUR_GBP,1499834250.0,2017-07-12 04:37:30,1,0.89324,0.89324,0.89322,0.89322,0.89333,0.89333,0.89331,0.89331,0.89315,0.89315,0.89313,0.89313,
25,EUR_GBP,1499834265.0,2017-07-12 04:37:45,1,0.89322,0.89324,0.89322,0.89324,0.89331,0.89332,0.89331,0.89332,0.89313,0.89316,0.89313,0.89316,
26,EUR_GBP,1499834270.0,2017-07-12 04:37:50,3,0.89324,0.89326,0.89324,0.89326,0.89332,0.89336,0.89332,0.89336,0.89316,0.89317,0.89316,0.89317,
27,EUR_GBP,1499834280.0,2017-07-12 04:38:00,1,0.89326,0.89329,0.89326,0.89329,0.89336,0.89337,0.89336,0.89337,0.89317,0.89321,0.89317,0.89321,
28,EUR_GBP,1499834285.0,2017-07-12 04:38:05,1,0.89329,0.89329,0.89326,0.89326,0.89337,0.89337,0.89335,0.89335,0.89321,0.89321,0.89318,0.89318,
29,EUR_GBP,1499834290.0,2017-07-12 04:38:10,1,0.89326,0.89328,0.89326,0.89328,0.89335,0.89337,0.89335,0.89337,0.89318,0.8932,0.89318,0.8932,
30,EUR_GBP,1499834295.0,2017-07-12 04:38:15,2,0.89328,0.89332,0.89328,0.89332,0.89337,0.89341,0.89337,0.89341,0.8932,0.89324,0.8932,0.89324,
31,EUR_GBP,1499834300.0,2017-07-12 04:38:20,3,0.89332,0.89334,0.89332,0.89334,0.89341,0.89343,0.89341,0.89343,0.89324,0.89326,0.89323,0.89326,
32,EUR_GBP,1499834305.0,2017-07-12 04:38:25,1,0.89334,0.89334,0.89332,0.89332,0.89343,0.89343,0.89341,0.89341,0.89326,0.89326,0.89324,0.89324,
33,EUR_GBP,1499834310.0,2017-07-12 04:38:30,1,0.89332,0.89332,0.8933,0.8933,0.89341,0.89341,0.8934,0.8934,0.89324,0.89324,0.89321,0.89321,
34,EUR_GBP,1499834315.0,2017-07-12 04:38:35,2,0.8933,0.89335,0.8933,0.89335,0.8934,0.89344,0.8934,0.89344,0.89321,0.89326,0.89321,0.89326,
35,EUR_GBP,1499834325.0,2017-07-12 04:38:45,1,0.89335,0.89335,0.89333,0.89333,0.89344,0.89344,0.89342,0.89342,0.89326,0.89326,0.89324,0.89324,
36,EUR_GBP,1499834350.0,2017-07-12 04:39:10,3,0.89333,0.89338,0.89333,0.89336,0.89342,0.89346,0.89342,0.89344,0.89324,0.8933,0.89324,0.89327,
37,EUR_GBP,1499834355.0,2017-07-12 04:39:15,6,0.89336,0.89349,0.89336,0.89349,0.89344,0.89357,0.89344,0.89357,0.89327,0.89341,0.89327,0.89341,
38,EUR_GBP,1499834360.0,2017-07-12 04:39:20,2,0.89349,0.89353,0.89349,0.89353,0.89357,0.89363,0.89357,0.89363,0.89341,0.89344,0.89341,0.89344,
39,EUR_GBP,1499834375.0,2017-07-12 04:39:35,1,0.89353,0.89355,0.89353,0.89355,0.89363,0.89364,0.89363,0.89364,0.89344,0.89347,0.89344,0.89347,
40,EUR_GBP,1499834390.0,2017-07-12 04:39:50,1,0.89355,0.89358,0.89355,0.89358,0.89364,0.89365,0.89364,0.89365,0.89347,0.8935,0.89347,0.8935,
41,EUR_GBP,1499834405.0,2017-07-12 04:40:05,1,0.89358,0.89358,0.89355,0.89355,0.89365,0.89365,0.89363,0.89363,0.8935,0.8935,0.89347,0.89347,
42,EUR_GBP,1499834445.0,2017-07-12 04:40:45,1,0.89355,0.89355,0.89352,0.89352,0.89363,0.89363,0.89361,0.89361,0.89347,0.89347,0.89344,0.89344,
43,EUR_GBP,1499834450.0,2017-07-12 04:40:50,1,0.89352,0.89352,0.8935,0.8935,0.89361,0.89361,0.89358,0.89358,0.89344,0.89344,0.89343,0.89343,
44,EUR_GBP,1499834455.0,2017-07-12 04:40:55,2,0.8935,0.8935,0.89348,0.89348,0.89358,0.89358,0.89356,0.89356,0.89343,0.89343,0.8934,0.8934,
45,EUR_GBP,1499834460.0,2017-07-12 04:41:00,1,0.89348,0.89348,0.89348,0.89348,0.89356,0.89356,0.89356,0.89356,0.8934,0.8934,0.8934,0.8934,
