Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
1,1497948820.0,2017-06-20 08:53:40,1,0.8789,0.8789,0.8789,0.8789,0.87897,0.87897,0.87897,0.87897,0.87883,0.87883,0.87883,0.87883,
2,1497948825.0,2017-06-20 08:53:45,6,0.87892,0.8789,0.8789,0.87896,0.87899,0.87898,0.87898,0.87903,0.87885,0.87882,0.87882,0.8789,
3,1497948835.0,2017-06-20 08:53:55,1,0.87888,0.87888,0.87888,0.87888,0.87894,0.87894,0.87894,0.87894,0.87881,0.87881,0.87881,0.87881,
4,1497948855.0,2017-06-20 08:54:15,3,0.87885,0.87885,0.87883,0.87885,0.87892,0.87892,0.87891,0.87892,0.87879,0.87878,0.87875,0.87879,
5,1497948860.0,2017-06-20 08:54:20,1,0.87887,0.87887,0.87887,0.87887,0.87894,0.87894,0.87894,0.87894,0.8788,0.8788,0.8788,0.8788,
6,1497948865.0,2017-06-20 08:54:25,1,0.87885,0.87885,0.87885,0.87885,0.87892,0.87892,0.87892,0.87892,0.87878,0.87878,0.87878,0.87878,
7,1497948870.0,2017-06-20 08:54:30,1,0.87887,0.87887,0.87887,0.87887,0.87894,0.87894,0.87894,0.87894,0.8788,0.8788,0.8788,0.8788,
8,1497948875.0,2017-06-20 08:54:35,1,0.87885,0.87885,0.87885,0.87885,0.87892,0.87892,0.87892,0.87892,0.87877,0.87877,0.87877,0.87877,
9,1497948885.0,2017-06-20 08:54:45,1,0.87887,0.87887,0.87887,0.87887,0.87894,0.87894,0.87894,0.87894,0.8788,0.8788,0.8788,0.8788,
10,1497948895.0,2017-06-20 08:54:55,2,0.87885,0.87882,0.87882,0.87885,0.87892,0.87889,0.87889,0.87892,0.87877,0.87875,0.87875,0.87877,
11,1497948900.0,2017-06-20 08:55:00,1,0.87879,0.87879,0.87879,0.87879,0.87886,0.87886,0.87886,0.87886,0.87872,0.87872,0.87872,0.87872,
12,1497948910.0,2017-06-20 08:55:10,1,0.87881,0.87881,0.87881,0.87881,0.87888,0.87888,0.87888,0.87888,0.87874,0.87874,0.87874,0.87874,
