Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
0,1497586800.0,2017-06-16 04:20:00,66,0.87307,0.8732,0.87277,0.87277,0.87315,0.87328,0.87286,0.87286,0.87299,0.87313,0.87269,0.87269,
1,1497587100.0,2017-06-16 04:25:00,32,0.87296,0.87321,0.87294,0.87309,0.87304,0.8733,0.87302,0.87317,0.87288,0.87312,0.87285,0.87302,
2,1497587400.0,2017-06-16 04:30:00,22,0.873,0.87302,0.87286,0.87298,0.87308,0.8731,0.87294,0.87306,0.87292,0.87294,0.87278,0.8729,
3,1497587700.0,2017-06-16 04:35:00,19,0.87283,0.87306,0.87283,0.87302,0.87291,0.87314,0.87291,0.8731,0.87276,0.87299,0.87276,0.87294,
4,1497588000.0,2017-06-16 04:40:00,21,0.87295,0.873,0.87281,0.87281,0.87303,0.8731,0.87289,0.87289,0.87287,0.87291,0.87273,0.87273,
5,1497588300.0,2017-06-16 04:45:00,15,0.87276,0.87293,0.87275,0.87293,0.87284,0.87301,0.87283,0.87301,0.87268,0.87285,0.87267,0.87285,
6,1497588600.0,2017-06-16 04:50:00,38,0.87276,0.87283,0.87271,0.87278,0.87284,0.87291,0.8728,0.87286,0.87268,0.87275,0.87262,0.8727,
7,1497588900.0,2017-06-16 04:55:00,38,0.87271,0.87287,0.87271,0.87279,0.87279,0.87295,0.87279,0.87287,0.87264,0.8728,0.87264,0.8727,
8,1497589200.0,2017-06-16 05:00:00,24,0.8724,0.87278,0.8724,0.87273,0.87247,0.87286,0.87247,0.87281,0.87233,0.87271,0.87233,0.87266,
9,1497589500.0,2017-06-16 05:05:00,35,0.87245,0.87247,0.87236,0.87238,0.87251,0.87255,0.87244,0.87247,0.87238,0.87238,0.87229,0.87229,
10,1497589800.0,2017-06-16 05:10:00,15,0.8725,0.8725,0.87239,0.87247,0.87258,0.87258,0.87247,0.87255,0.87241,0.87241,0.87231,0.87238,
11,1497590100.0,2017-06-16 05:15:00,21,0.87265,0.87272,0.87252,0.87252,0.87274,0.8728,0.8726,0.8726,0.87257,0.87265,0.87245,0.87245,
12,1497590400.0,2017-06-16 05:20:00,29,0.87247,0.87263,0.87238,0.87263,0.87255,0.87271,0.87246,0.87271,0.87239,0.87255,0.87231,0.87255,
13,1497590700.0,2017-06-16 05:25:00,32,0.87236,0.87255,0.87236,0.87245,0.87243,0.87263,0.87243,0.87253,0.87229,0.87248,0.87229,0.87237,
14,1497591000.0,2017-06-16 05:30:00,42,0.87251,0.87251,0.87225,0.87234,0.87258,0.87259,0.87233,0.87242,0.87243,0.87243,0.87217,0.87226,
15,1497591300.0,2017-06-16 05:35:00,28,0.8726,0.87272,0.87253,0.87253,0.87269,0.87279,0.87261,0.87261,0.87252,0.87265,0.87245,0.87245,
16,1497591600.0,2017-06-16 05:40:00,32,0.8727,0.87274,0.87256,0.87262,0.87278,0.87281,0.87264,0.87271,0.87262,0.87267,0.87249,0.87254,
17,1497591900.0,2017-06-16 05:45:00,14,0.87275,0.87279,0.8727,0.87272,0.87283,0.87288,0.87277,0.8728,0.87268,0.87271,0.87263,0.87265,
18,1497592200.0,2017-06-16 05:50:00,36,0.87292,0.87292,0.87261,0.87273,0.87299,0.87299,0.87268,0.87281,0.87285,0.87285,0.87253,0.87265,
19,1497592500.0,2017-06-16 05:55:00,38,0.87265,0.8729,0.87258,0.8729,0.87273,0.87297,0.87266,0.87297,0.87258,0.87283,0.8725,0.87283,
20,1497592800.0,2017-06-16 06:00:00,50,0.87253,0.87268,0.87239,0.87268,0.8726,0.87275,0.87246,0.87275,0.87247,0.87261,0.87232,0.87261,
21,1497593100.0,2017-06-16 06:05:00,53,0.87297,0.87305,0.87256,0.87256,0.87304,0.87312,0.87264,0.87264,0.8729,0.87297,0.87248,0.87248,
22,1497593400.0,2017-06-16 06:10:00,70,0.87314,0.87321,0.87295,0.87299,0.87321,0.87329,0.87302,0.87307,0.87307,0.87313,0.87288,0.87292,
23,1497593700.0,2017-06-16 06:15:00,69,0.87306,0.87312,0.87269,0.87312,0.87313,0.8732,0.87276,0.8732,0.873,0.87304,0.87262,0.87304,
