Index,InstrumentName,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
1,EUR_GBP,1499837440.0,2017-07-12 05:30:40,2,0.89333,0.89333,0.8933,0.89333,0.89342,0.89342,0.89338,0.89342,0.89324,0.89324,0.89323,0.89324,
2,EUR_GBP,1499837495.0,2017-07-12 05:31:35,2,0.89333,0.89328,0.89328,0.89333,0.89342,0.89336,0.89336,0.89342,0.89324,0.89319,0.89319,0.89324,
3,EUR_GBP,1499837515.0,2017-07-12 05:31:55,2,0.89328,0.89324,0.89324,0.89328,0.89336,0.89332,0.89332,0.89336,0.89319,0.89315,0.89315,0.89319,
4,EUR_GBP,1499837540.0,2017-07-12 05:32:20,1,0.89324,0.89326,0.89324,0.89326,0.89332,0.89334,0.89332,0.89334,0.89315,0.89317,0.89315,0.89317,
5,EUR_GBP,1499837560.0,2017-07-12 05:32:40,1,0.89326,0.89328,0.89326,0.89328,0.89334,0.89336,0.89334,0.89336,0.89317,0.89319,0.89317,0.89319,
6,EUR_GBP,1499837565.0,2017-07-12 05:32:45,2,0.89328,0.89332,0.89328,0.89332,0.89336,0.8934,0.89336,0.8934,0.89319,0.89324,0.89319,0.89324,
7,EUR_GBP,1499837575.0,2017-07-12 05:32:55,1,0.89332,0.89329,0.89329,0.89332,0.8934,0.89338,0.89338,0.8934,0.89324,0.89321,0.89321,0.89324,
8,EUR_GBP,1499837590.0,2017-07-12 05:33:10,1,0.89329,0.89332,0.89329,0.89332,0.89338,0.89341,0.89338,0.89341,0.89321,0.89323,0.89321,0.89323,
9,EUR_GBP,1499837595.0,2017-07-12 05:33:15,1,0.89332,0.8933,0.8933,0.89332,0.89341,0.89339,0.89339,0.89341,0.89323,0.89321,0.89321,0.89323,
10,EUR_GBP,1499837600.0,2017-07-12 05:33:20,1,0.8933,0.89332,0.8933,0.89332,0.89339,0.89341,0.89339,0.89341,0.89321,0.89323,0.89321,0.89323,
